,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
5,713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,5.5077e-05,0.99994
9,719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0.00030251,0.9997
14,712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0.00011382,0.99989
19,709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,5.5077e-05,0.99994
24,789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0.00021042,0.99979
31,712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0.00012458,0.99988
33,788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0.00018612,0.99981
41,758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,2.2331e-05,0.99998
46,789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,6.0759e-05,0.99994
53,712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,4.6151e-05,0.99995
